ic_scen;dc_scen;pv_scen;ev_scen;team;iter;total_bill;pmax_cost;autonomy_score
1;1;grand_nord;1;team_1;1;7.283;123.6;49.296
1;1;grand_nord;1;team_1;2;7.37;123.6;50.1
1;1;grand_nord;1;team_1;3;6.919;123.6;47.034
1;1;grand_nord;1;team_2;1;6.893;123.6;46.912
1;1;grand_nord;1;team_2;2;6.92;123.6;47.122
1;1;grand_nord;1;team_2;3;7.007;123.6;47.344
1;1;grand_nord;1;team_2;4;7.326;123.6;49.056
1;1;grand_nord;1;team_3;1;7.22;123.6;48.903
1;1;grand_nord;1;team_3;2;7.596;123.6;52.252
1;1;grand_nord;1;team_3;3;6.741;123.6;46.361
1;1;grand_nord;1;team_3;4;7.002;123.6;46.944
